Text,True_Label,Predicted_Label
"332 (1) A licence holder may grade an egg only if the egg

(a) is edible;",0,0
"or (b) applied, under a grader’s supervision, to another livestock carcass or primal cut that bears the same grade stamp, roller brand or yield stamp.",0,0
"Fresh field rhubarb of varieties grown from Rheum rhaponticum, except rhubarb grown under protective covering, must, where a grade name is applied to, or used in connection with the fresh field rhubarb, meet the requirements for that grade established by the responsible Department.",0,0
"Incorporate measures that minimize microbial growth (for example, pH, water activity (aW), preservatives) into the product formulation.",0,0
Use bee treatments in accordance with Canadian requirements.,0,0
Every bulk milk/cream tanker entering Canada from the USA must be accompanied by a document signed by a USFDA Official indicating that the milk/cream in the tanker meets the specific specifications as set out in point 1. above.,0,0
(c) must be free from inedible parts;,0,0
"333 (1) Ungraded eggs that are received at an establishment where eggs are graded by a licence holder must be graded and labelled with the applicable grade name that is set out in the Compendium or, if they do not meet the requirements in respect of any grade that are set out in these Regulations, they must be rejected.",0,0
(b) does not emit an abnormal odour;,0,0
These rules included changes to the nutrients that must be declared on the Nutrition Facts label. ,0,0
"These foods must use the Canadian grade name as shown in Column 2 of the Table of Import Grade Names for Imported Food, rather than the import grade name referred to in Column 3.",0,0
"For example, the existing “healthy” regulation requires that a product provide a specified percentage of the RDI or Daily Reference Value (DRV) for nutrients that were of “sufficient public health significance to warrant their inclusion on the nutrition label” (59 FR 24232)",0,0
Vp can grow at temperatures as low as 5°C and as high as 43°C under very specific conditions of pH and salinity;,0,0
The class name or size designation must be shown in close proximity to the grade name and in characters that are at least 3.2 mm in height.,0,0
"(3) In addition to the requirements for each grade, untiered apples of all grades must have the diameter size range of the apples as set out in paragraph (1)(c) shown on the container's label unless the container
(a) is transparent;",0,0
and (f) is of a usual colour.,0,0
"Since then, only one material, ethylene vinyl acetate copolymer, was added to Title 21 of the Code of Federal Regulations, in 1989. ",0,0
"b) contain not more than 18.6% moisture or, if its container bears the word ""pasteurized"" or ""pasteurisé"", not more than 20% moisture;",0,0
or (b) “Assorted Sizes” or “grosseurs assorties” or “Mixed Sizes” or “grosseurs mixtes”.,0,0
(c) be free from hail marks;,0,0
"We also consider 50% ethanol as a generally accepted simulant for non-dairy based infant formulas, such as soy-based infant formulas, since the fat content of such formulas is similar to the fat content of milk-based infant formulas.",0,0
"3. Honey graded Canada No. 1 must

a) be the food derived from the nectar of blossoms or from secretions of or on the living parts of plants by the work of honey bees;",0,0
"(b) be free from bruises that
(i) individually exceed 19 mm (¾ inch) in diameter, or
(ii) affect an aggregate area per apple exceeding 25 mm (1 inch) in diameter;",1,1
Do not accept and/or use incoming ingredients and materials that do not meet specifications.,0,0
"Lobster Paste in a hermetically sealed package

(a) must be prepared from clean, sound lobster liver;",0,0
"(c) be mature, clean and sound;",0,0
"and (b) in the case of a poultry carcass that is not individually packaged, on a tag that is attached to the V of the wishbone of the carcass.",0,0
"50 (1) An establishment, and any conveyance or equipment in it that is used in connection with an activity that is regulated under the Act, must be clean and in a sanitary condition.",0,0
"and

(b) in the case of a container, other than a tray with an overwrap or an egg carton, in a central location on the container, except the top or the bottom.",0,0
"As described in our 2007 chemistry guidance, the concentration of an FCS in the daily diet may be determined from measured levels in food or in food simulants.",0,0
