,sentence,label,paragraph_id
0,"Condensed Milk or Sweetened Condensed Milk is milk from which water has been removed, to which sugar, dextrose, glucose, glucose solids, lactose or any combination of them has been added and that","overall, data, water content",1
1,(a) contains at least 28% milk solids and 8% milk fat;,"overall, measurement, water content",1
2,and (b) may contain added vitamin D.,"overall, data, non-label data",1
3,"(1) If the foods set out in section 1 are graded and the grade name is applied to the food, the grade name must be displayed as shown in the schedule of dairy product grade names.","overall, data, label data",2
4,"Cheddar cheese graded Canada 1 must
(a) have typical and desirable flavour and aroma;",overall,3
5,(b) have reasonably compact and firm body;,"overall, measurement, firmness",3
6,(c) have smooth texture;,overall,3
7,"(d) have a clean, smooth and unbroken surface;",overall,3
8,"(e) have, except in the case of marbled cheddar cheese, a characteristic uniform colour;","overall, measurement, colour",3
9,and (f) be uniform in size and regular in shape.,"overall, measurement, size",3
10,Canadian dairy processors wishing to import raw milk or cream into Canada to be processed into dairy products and subsequently re-exported from Canada must be federally registered or licensed under the Safe Food for Canadians Regulations (SFCR).,"overall, data, non-label data",4
11,"To assist GAC, the Canadian Food Inspection Agency (CFIA) performs compliance verifications of dairy plants.","overall, data, non-label data",5
12,The CFIA may sample raw milk and cream coming from the USA for chemical residues.,"overall, data, non-label data",6
13,Inspectors are to use the sample bottles provided for raw milk sampling.,"overall, data, non-label data",7
14,"If an imported food referred to in column 1 of an item of the Table of Import Grade Names for Imported Food meets the requirements of this Compendium for a Canadian grade name in Column 2 of that item, the import grade name in Column 3 is the grade name of the imported food and the imported food must be labelled with that import grade name rather than with the Canadian grade name referred to in that line in Column 2.","overall, data, label data",8
15,"Subsection (1) does not apply to imported eggs (item 2) or processed fruit or vegetable products (items 34 and 35), if they are graded by a licence holder.","overall, data, non-label data",9
16,"These foods must use the Canadian grade name as shown in Column 2 of the Table of Import Grade Names for Imported Food, rather than the import grade name referred to in Column 3.","overall, data, label data",10
17,"Subsection (1) does not apply to maple syrup (item 3) that is imported and that is graded by a licence holder and packaged in Canada, if it is graded in an establishment that is identified in a licence, other than an establishment where maple syrup is prepared directly from maple sap.","overall, data, non-label data",11
18,"Such maple syrup must use the Canadian grade name in Column 2 of the Table of Import Grade Names for Imported Food, rather than the import grade name referred to in Column 3.","overall, data, label data",12
19,Subsection (1) applies to imported fresh fruits or vegetables (items 4 to 33) that are packaged or repackaged in Canada after their importation.,"overall, data, non-label data",13
20,"Lobster meat must be free from the stomach, intestinal tract, gills, cartilage, shell particles, liver and roe.",overall,14
21,"If cooked lobster meat is to be sold as unfrozen lobster meat, it must be chilled immediately after being packaged and be maintained at a temperature of 2°C or less and remain unfrozen.","overall, temperature, time constraint",15
22,"If cooked lobster meat is to be sold as frozen lobster meat, it must be frozen immediately after being packaged and be maintained at a temperature of -18°C or less.","overall, time constraint, measurement, temperature",16
23,"Lobster Cocktail in a hermetically sealed package must
(a) be prepared from clean, sound lobster meat that is free from inedible parts, in combination with fresh, well-washed cod, haddock, hake, cusk or any combination of them;",overall,17
24,and (b) contain more than 50% lobster meat by drained weight.,"overall, measurement, mass",17
25,"Lobster Paste in a hermetically sealed package
(a) must be prepared from clean, sound lobster liver;",overall,18
26,"(b) may contain clean, sound lobster meat and roe;",overall,18
27,(c) must be free from inedible parts;,overall,18
28,(d) must be ground to a smooth consistency and be uniform in colour;,"overall, measurement, colour",18
29,"and (e) may contain spices, colouring agents and not more than 2% filler by weight of the finished paste.","overall, measurement, mass",18
30,A fish stick or a fish finger is a uniform rectangular portion of breaded fish flesh that weighs at least 25 g and not more than 50 g and that,"overall, measurement, mass",19
31,(a) is at least 10 mm thick and shaped so that the length is not less than three times the greatest width;,"overall, measurement, size",19
32,"(b) if cooked, contains at least 60% fish flesh by weight;","overall, measurement, mass",19
33,"and (c) if uncooked, contains at least 67% fish flesh by weight.","overall, measurement, mass",19
34,"A portion of breaded fish flesh that weighs more than 50 g must
(a) if cooked, contain at least 66.67% fish flesh by weight;","overall, measurement, mass",20
35,"and (b) if uncooked, contain at least 75% fish flesh by weight.","overall, measurement, mass",20
36,"Prepackaged fish and chips must contain french fried potatoes, at least 45% battered fish by weight and at least 25% fish flesh by weight.","overall, data, label data, measurement, mass",21
37,"Breaded scallops must
(a) if cooked, contain at least 60% scallop meat by weight;","overall, measurement, mass",22
38,"and (b) if uncooked, contain at least 67.5% scallop meat by weight.","overall, measurement, mass",22
