,Label,Metric,A12,P-value
0,measurement,Precision,"(0.71625, 'Large')",0.019292379706561613
1,measurement,Recall,"(0.815, 'Large')",0.0006536629671158899
2,measurement,F-score,"(0.86875, 'Large')",6.610446488702155e-05
3,temperature,Precision,"(0.10124999999999995, 'Large')",1.5997235246344776e-05
4,temperature,Recall,"(0.7875, 'Large')",0.0018660638566261292
5,temperature,F-score,"(0.31999999999999995, 'Medium')",0.05146207608338067
6,mass,Precision,"(1.0, 'Large')",6.301848221392269e-08
7,mass,Recall,"(0.75125, 'Large')",0.006557192645280169
8,mass,F-score,"(0.895, 'Large')",1.9207108512994557e-05
9,size,Precision,"(0.60125, 'Small')",0.2732851201810752
10,size,Recall,"(0.8625, 'Large')",8.772119619061601e-05
11,size,F-score,"(0.72375, 'Large')",0.015478602442838574
12,timeconstraint,Precision,"(0.655, 'Medium')",0.09352184948628163
13,timeconstraint,Recall,"(1.0, 'Large')",6.301848221392269e-08
14,timeconstraint,F-score,"(1.0, 'Large')",6.301848221392269e-08
15,non-labeldata,Precision,"(0.6375, 'Small')",0.13681554418853384
16,non-labeldata,Recall,"(0.99, 'Large')",1.1465546070186533e-07
17,non-labeldata,F-score,"(0.92125, 'Large')",5.1657788244971414e-06
18,labeldata,Precision,"(0.5862499999999999, 'negligible')",0.3507022236669548
19,labeldata,Recall,"(0.73625, 'Large')",0.010581211443165648
20,labeldata,F-score,"(0.73375, 'Large')",0.011432829308440093
21,data,Precision,"(0.53625, 'negligible')",0.6948910198677665
22,data,Recall,"(0.83, 'Large')",0.0003561484630907232
23,data,F-score,"(0.82125, 'Large')",0.000509072918078457
24,overall,Precision,"(0.60125, 'Small')",0.2732851201810752
25,overall,Recall,"(0.845, 'Large')",0.0001892785216405046
26,overall,F-score,"(0.8725, 'Large')",5.566702833736114e-05
27,colour,Precision,"(0.9675, 'Large')",4.2286279422220743e-07
28,colour,Recall,"(0.86375, 'Large')",8.292416774489331e-05
29,colour,F-score,"(0.9, 'Large')",1.5045973945099985e-05
30,firmness,Precision,"(0.17307692307692313, 'Large')",0.0017378343519996275
31,firmness,Recall,"(0.34615384615384615, 'Medium')",0.1405483084370247
32,firmness,F-score,"(0.12307692307692308, 'Large')",0.0003053799393603691
33,pathogen,Precision,"(0.775, 'Large')",0.0038001523734557214
34,pathogen,Recall,"(0.6069444444444444, 'Small')",0.2603527424715927
35,pathogen,F-score,"(0.7, 'Medium')",0.035296596841407915
