,Measurement,Temperature,Mass,Size,Time Constraint,Non-labelData,LabelData,Data,Overall,Convention
0,0.858268,0,0.903226,0.619048,0.777778,0,0.75,0.822581,0.86758,0.827586
1,0.8,0,0.90625,0.735294,1,0.5,0.884615,0.807018,0.892157,0.925926
2,0.887097,0,0.893939,0.764706,1,0.842105,0.730769,0.827586,0.813333,0.909091
3,0.818182,0,0.916667,0.9,1,0.652174,0.833333,0.758621,0.834783,0.882353
4,0.875969,0,0.910714,0.658537,1,0.65,0.827586,0.886792,0.927835,0.931034
5,0.782313,0,0.897959,0.678571,1,0.736842,0.931034,0.836735,0.892157,0.821429
6,0.824818,0,0.942857,0.636364,1,0.25,0.862069,0.704225,0.877358,0.8
7,0.851562,0,0.953488,0.658537,0.933333,0.333333,0.888889,0.807692,0.834101,0.852941
8,0.805556,0,0.901961,0.777778,1,0.666667,0.931034,0.803279,0.853982,0.935484
9,0.810219,0.5,0.898305,0.9,1,0.772727,0.809524,0.827586,0.86036,0.875
10,0.849206,0,0.9,0.851852,0.875,0.866667,0.84375,0.709091,0.838565,0.935484
11,0.884298,0,0.955556,0.558824,1,0,0.866667,0.793651,0.817427,0.852941
12,0.853846,0,0.852941,0.714286,1,0.6,0.888889,0.731343,0.859091,0.852941
13,0.821918,0,0.912281,0.717949,1,0.882353,0.884615,0.789474,0.930233,0.9375
14,0.858268,1,0.87234,0.931034,1,0.666667,0.909091,0.75,0.833333,0.9
15,0.858209,0,0.876923,0.75,1,0.722222,0.7,0.779412,0.820513,0.923077
16,0.817518,1,0.923077,0.558824,1,0.875,0.866667,0.88,0.852679,0.892857
17,0.8125,0,0.95,0.787879,1,0.75,0.791667,0.826087,0.808333,0.878788
18,0.784722,0,0.893617,0.8125,1,0,0.814815,0.757576,0.842105,0.90625
19,0.843284,1,0.901639,0.75,1,0.608696,0.846154,0.803922,0.8107,0.862069
20,0.77305,0,0.589474,0.722222,0.823529,0,0.375,0.69863,0.852018,0.705882
21,0.794326,0,0.610526,0.694444,0.823529,0.333333,0.410714,0.630137,0.816143,0.735294
22,0.780142,0,0.621053,0.722222,0.823529,0.888889,0.339286,0.657534,0.820628,0.882353
23,0.829787,0,0.463158,0.75,0.823529,0.833333,0.357143,0.60274,0.860987,0.882353
24,0.801418,0,0.536842,0.75,0.823529,0.722222,0.428571,0.643836,0.807175,0.794118
25,0.815603,0,0.463158,0.527778,0.823529,0.777778,0.482143,0.561644,0.816143,0.676471
