,Measurement,Temperature,Mass,Size,Time Constraint,Non-labelData,LabelData,Data,Overall,Convention
0,0.880597,0.5,0.925926,0.68,1,0,0.6875,0.822222,0.878378,0.935484
1,0.810811,0.5,0.892308,0.882353,1,0,0.892857,0.803571,0.857778,0.914286
2,0.840278,0.6,0,0,1,0,0.848485,0.796296,0.839662,0.962963
3,0.815789,0.5,0.934783,1,0,0,0.764706,0.857143,0.859031,0.9375
4,0.831081,0.6,0.892857,0.928571,0.875,0,0.869565,0.833333,0.854626,0.92
5,0,0.125,0,0.578947,0,0,0.586957,0.891304,0.849315,0.833333
6,0.855072,0.25,0.96,0.710526,0.933333,0,0.789474,0.875,0.805785,0.914286
7,0.819355,0,0.886792,0.717949,1,0,0.888889,0.785714,0.894737,0.568966
8,0.821918,0.5,0.935484,0.692308,0.909091,0,0.962963,0.882353,0.853881,0.931034
9,0.90625,0.714286,0.94,0.9375,1,0,0.96875,0.791667,0.928571,0.875
10,0.881481,0,0.945455,0.90625,0.933333,0,0.923077,0.90625,0.899522,0.666667
11,0.837838,0,0,0.820513,1,0,0,0.836735,0.838428,0.914286
12,0.92,0,0,0,0,0,0.829268,0.843137,0.821739,0.857143
13,0.92,0.1,0,0,1,0,0,0.866667,0.892857,0.90625
14,0.935484,0.2,0,0.738095,1,0,0.757576,0.761905,0.835443,0.914286
15,0.909091,0.75,0,0.891892,0.933333,0,0.857143,0.847458,0.840816,0.933333
16,0.879699,1,0,0.928571,0,0,0.589286,0.769231,0.861607,0.882353
17,0.959596,0.428571,0,0.805556,1,0,0.8125,0.857143,0.882353,0.916667
18,0.92,0,0,0,1,0,0.714286,0.844444,0.869767,0.931034
19,0.826389,0.111111,0,0.625,1,0,0.833333,0.883721,0.864865,0.810811
20,0.836879,0.071429,0.526316,0.944444,0.470588,0,0.589286,0.506849,0.874439,0.852941
21,0.851064,0.071429,0.610526,0.833333,0.823529,0,0.446429,0.616438,0.865471,0.941176
22,0.858156,0.214286,0,0,0.647059,0,0.5,0.589041,0.892377,0.764706
23,0.879433,0.214286,0.452632,0.666667,0,0,0.464286,0.493151,0.874439,0.882353
24,0.87234,0.214286,0.526316,0.722222,0.823529,0,0.357143,0.616438,0.869955,0.676471
25,0,0.142857,0,0.916667,0,0,0.482143,0.561644,0.834081,0.882353
26,0.836879,0.071429,0.252632,0.75,0.823529,0,0.535714,0.575342,0.874439,0.941176
27,0.900709,0,0.494737,0.777778,0.705882,0,0.285714,0.60274,0.762332,0.970588
28,0.851064,0.214286,0.305263,0.5,0.588235,0,0.464286,0.616438,0.838565,0.794118
29,0.822695,0.357143,0.494737,0.833333,0.823529,0,0.553571,0.520548,0.757848,0.617647
30,0.843972,0,0.547368,0.805556,0.823529,0,0.428571,0.39726,0.843049,0.941176
31,0.879433,0,0,0.888889,0.647059,0,0,0.561644,0.860987,0.941176
32,0.815603,0,0,0,0,0,0.607143,0.589041,0.847534,0.882353
33,0.815603,0.071429,0,0,0.470588,0,0,0.534247,0.784753,0.852941
34,0.822695,0.142857,0,0.861111,0.764706,0,0.446429,0.657534,0.887892,0.941176
35,0.851064,0.214286,0,0.916667,0.823529,0,0.428571,0.684932,0.923767,0.823529
36,0.829787,0.142857,0,0.722222,0,0,0.589286,0.547945,0.865471,0.882353
37,0.673759,0.428571,0,0.805556,0.470588,0,0.696429,0.575342,0.874439,0.970588
38,0.815603,0,0,0,0.823529,0,0.357143,0.520548,0.838565,0.794118
