,Label,Metric,A12,P-value
0,Measurement,Precision,"(0.15249999999999997, 'Large')",0.0001699389127330722
1,Measurement,Recall,"(0.0, 'Large')",6.301848221392269e-08
2,Measurement,F-score,"(0.0, 'Large')",6.301848221392269e-08
3,Temperature,Precision,"(0.89, 'Large')",2.445040783934004e-05
4,Temperature,Recall,"(0.0, 'Large')",6.301848221392269e-08
5,Temperature,F-score,"(0.0, 'Large')",6.301848221392269e-08
6,Mass,Precision,"(0.32499999999999996, 'Medium')",0.058290580139488755
7,Mass,Recall,"(0.0, 'Large')",6.301848221392269e-08
8,Mass,F-score,"(0.0, 'Large')",6.301848221392269e-08
9,Size,Precision,"(0.25125, 'Large')",0.007113494035772574
10,Size,Recall,"(0.125, 'Large')",4.959798167765305e-05
11,Size,F-score,"(0.12250000000000005, 'Large')",4.41597598995539e-05
12,Time Constraint,Precision,"(0.28625, 'Large')",0.020734594207182492
13,Time Constraint,Recall,"(0.0, 'Large')",6.301848221392269e-08
14,Time Constraint,F-score,"(0.0, 'Large')",6.301848221392269e-08
15,Non-labelData,Precision,"(0.08625000000000005, 'Large')",7.577381059726264e-06
16,Non-labelData,Recall,"(0.0, 'Large')",6.301848221392269e-08
17,Non-labelData,F-score,"(0.0, 'Large')",6.301848221392269e-08
18,LabelData,Precision,"(0.68125, 'Medium')",0.04986369021054049
19,LabelData,Recall,"(0.0, 'Large')",6.301848221392269e-08
20,LabelData,F-score,"(0.0, 'Large')",6.301848221392269e-08
21,Data,Precision,"(0.04500000000000004, 'Large')",8.517683792974374e-07
22,Data,Recall,"(0.0, 'Large')",6.301848221392269e-08
23,Data,F-score,"(0.0, 'Large')",6.301848221392269e-08
24,Overall,Precision,"(0.20750000000000002, 'Large')",0.001551573649444107
25,Overall,Recall,"(0.007499999999999951, 'Large')",9.882703709104184e-08
26,Overall,F-score,"(0.0, 'Large')",6.301848221392269e-08
