,Label,Metric,A12,P-value
0,Measurement,Precision,"(0.05249999999999999, 'Large')",1.2856080534514384e-06
1,Measurement,Recall,"(0.0, 'Large')",6.301848221392269e-08
2,Measurement,F-score,"(0.0, 'Large')",6.301848221392269e-08
3,Temperature,Precision,"(0.0, 'Large')",6.301848221392269e-08
4,Temperature,Recall,"(0.0, 'Large')",6.301848221392269e-08
5,Temperature,F-score,"(0.0, 'Large')",6.301848221392269e-08
6,Mass,Precision,"(0.14249999999999996, 'Large')",0.00010965847586374337
7,Mass,Recall,"(0.0, 'Large')",6.301848221392269e-08
8,Mass,F-score,"(0.0, 'Large')",6.301848221392269e-08
9,Size,Precision,"(0.975, 'Large')",2.754456932306396e-07
10,Size,Recall,"(0.0, 'Large')",6.301848221392269e-08
11,Size,F-score,"(0.0, 'Large')",6.301848221392269e-08
12,Time Constraint,Precision,"(0.0, 'Large')",6.301848221392269e-08
13,Time Constraint,Recall,"(0.0, 'Large')",6.301848221392269e-08
14,Time Constraint,F-score,"(0.0, 'Large')",6.301848221392269e-08
15,Non-labelData,Precision,"(0.0, 'Large')",6.301848221392269e-08
16,Non-labelData,Recall,"(0.0, 'Large')",6.301848221392269e-08
17,Non-labelData,F-score,"(0.0, 'Large')",6.301848221392269e-08
18,LabelData,Precision,"(0.040000000000000036, 'Large')",6.450519799610879e-07
19,LabelData,Recall,"(0.0, 'Large')",6.301848221392269e-08
20,LabelData,F-score,"(0.0, 'Large')",6.301848221392269e-08
21,Data,Precision,"(0.0, 'Large')",6.301848221392269e-08
22,Data,Recall,"(0.0, 'Large')",6.301848221392269e-08
23,Data,F-score,"(0.0, 'Large')",6.301848221392269e-08
24,Overall,Precision,"(0.0, 'Large')",6.301848221392269e-08
25,Overall,Recall,"(0.0, 'Large')",6.301848221392269e-08
26,Overall,F-score,"(0.0, 'Large')",6.301848221392269e-08
